"","Kingdom","Phylum","Class","Order","Family","Genus","Species","OTU"
"forward_CO1_84","","","","","","","","forward_CO1_84"
"forward_CO1_85","","","","","","","","forward_CO1_85"
"forward_CO1_86","","","","","","","","forward_CO1_86"
"forward_CO1_87","","","","","","","","forward_CO1_87"
"forward_CO1_88","","","","","","","","forward_CO1_88"
"forward_CO1_89","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Corallinales_31395","Corallinaceae_31396","Bossiella_48614","Bossiella hakaiensis_1752041","forward_CO1_89"
"forward_CO1_90","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Corallinales_31395","Corallinaceae_31396","Bossiella_48614","Bossiella frondescens_1141738","forward_CO1_90"
"forward_CO1_91","","","","","","","","forward_CO1_91"
"forward_CO1_93","","","","","","","","forward_CO1_93"
"forward_CO1_94","","","","","","","","forward_CO1_94"
"forward_CO1_95","","","","","","","","forward_CO1_95"
"forward_CO1_96","","","","","","","","forward_CO1_96"
"forward_CO1_97","","","","","","","","forward_CO1_97"
"forward_CO1_98","","","","","","","","forward_CO1_98"
"forward_CO1_99","","","","","","","","forward_CO1_99"
"forward_CO1_100","","","","","","","","forward_CO1_100"
"forward_CO1_101","Eukaryota_2759","Arthropoda_6656","Malacostraca_6681","Decapoda_6683","Epialtidae_516942","Pugettia_27407","Pugettia producta_504418","forward_CO1_101"
"forward_CO1_102","","","","","","","","forward_CO1_102"
"forward_CO1_103","","","","","","","","forward_CO1_103"
"forward_CO1_104","","","","","","","","forward_CO1_104"
"forward_CO1_105","Eukaryota_2759","Cnidaria_6073","Hydrozoa_6074","Leptothecata_500008","Aglaopheniidae_308582","Aglaophenia_308583","Aglaophenia struthionides_1769401","forward_CO1_105"
"forward_CO1_106","","","","","","","","forward_CO1_106"
"forward_CO1_107","","","","","","","","forward_CO1_107"
"forward_CO1_108","","","","","","","","forward_CO1_108"
"forward_CO1_109","","","","","","","","forward_CO1_109"
"forward_CO1_110","","","","","","","","forward_CO1_110"
"forward_CO1_111","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Acrochaetiales_31355","Acrochaetiaceae_31356","Acrochaetium_31357","Acrochaetium plumosum_1582912","forward_CO1_111"
"forward_CO1_112","","","","","","","","forward_CO1_112"
"forward_CO1_113","","","","","","","","forward_CO1_113"
"forward_CO1_114","","","","","","","","forward_CO1_114"
"forward_CO1_115","","","","","","","","forward_CO1_115"
"forward_CO1_116","","","","","","","","forward_CO1_116"
"forward_CO1_117","","","","","","","","forward_CO1_117"
"forward_CO1_118","","","","","","","","forward_CO1_118"
"forward_CO1_119","","","","","","","","forward_CO1_119"
"forward_CO1_120","Eukaryota_2759","Annelida_6340","Polychaeta_6341","order_Orbiniidae_46603","Orbiniidae_46603","Naineris_273008","Naineris dendritica CMC01_868108","forward_CO1_120"
"forward_CO1_121","","","","","","","","forward_CO1_121"
"forward_CO1_122","","","","","","","","forward_CO1_122"
"forward_CO1_123","","","","","","","","forward_CO1_123"
"forward_CO1_124","","","","","","","","forward_CO1_124"
"forward_CO1_125","","","","","","","","forward_CO1_125"
"forward_CO1_126","","","","","","","","forward_CO1_126"
"forward_CO1_127","","","","","","","","forward_CO1_127"
"forward_CO1_128","","","","","","","","forward_CO1_128"
"forward_CO1_129","","","","","","","","forward_CO1_129"
"forward_CO1_130","","","","","","","","forward_CO1_130"
"forward_CO1_131","","","","","","","","forward_CO1_131"
"forward_CO1_132","","","","","","","","forward_CO1_132"
"forward_CO1_133","","","","","","","","forward_CO1_133"
"forward_CO1_134","","","","","","","","forward_CO1_134"
"forward_CO1_135","Eukaryota_2759","Chlorophyta_3041","Mamiellophyceae_1035538","Mamiellales_13792","Mamiellaceae_41873","Micromonas_38832","Micromonas pusilla_38833","forward_CO1_135"
"forward_CO1_136","","","","","","","","forward_CO1_136"
"forward_CO1_137","","","","","","","","forward_CO1_137"
"forward_CO1_138","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Corallinales_31395","Corallinaceae_31396","Calliarthron_48940","Calliarthron tuberculosum_48942","forward_CO1_138"
"forward_CO1_139","Eukaryota_2759","Rhodophyta_2763","Compsopogonophyceae_930023","Erythropeltidales_31351","Erythropeltidaceae_33660","Smithora_33661","Smithora naiadum_82561","forward_CO1_139"
"forward_CO1_140","","","","","","","","forward_CO1_140"
"forward_CO1_141","","","","","","","","forward_CO1_141"
"forward_CO1_142","","","","","","","","forward_CO1_142"
"forward_CO1_143","","","","","","","","forward_CO1_143"
"forward_CO1_144","","","","","","","","forward_CO1_144"
"forward_CO1_146","","","","","","","","forward_CO1_146"
"forward_CO1_147","","","","","","","","forward_CO1_147"
"forward_CO1_148","","","","","","","","forward_CO1_148"
"forward_CO1_149","","","","","","","","forward_CO1_149"
"forward_CO1_150","","","","","","","","forward_CO1_150"
"forward_CO1_151","","","","","","","","forward_CO1_151"
"forward_CO1_152","","","","","","","","forward_CO1_152"
"forward_CO1_153","","","","","","","","forward_CO1_153"
"forward_CO1_154","","","","","","","","forward_CO1_154"
"forward_CO1_155","","","","","","","","forward_CO1_155"
"forward_CO1_156","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Gigartinales_28017","Gigartinaceae_29217","Mazzaella_29228","Mazzaella flaccida_29230","forward_CO1_156"
"forward_CO1_157","","","","","","","","forward_CO1_157"
"forward_CO1_158","","","","","","","","forward_CO1_158"
"forward_CO1_159","","","","","","","","forward_CO1_159"
"forward_CO1_160","","","","","","","","forward_CO1_160"
"forward_CO1_161","","","","","","","","forward_CO1_161"
"forward_CO1_162","","","","","","","","forward_CO1_162"
"forward_CO1_163","","","","","","","","forward_CO1_163"
"forward_CO1_164","","","","","","","","forward_CO1_164"
"forward_CO1_165","","","","","","","","forward_CO1_165"
"forward_CO1_166","","","","","","","","forward_CO1_166"
"forward_CO1_167","","","","","","","","forward_CO1_167"
"forward_CO1_168","","","","","","","","forward_CO1_168"
"forward_CO1_169","","","","","","","","forward_CO1_169"
"forward_CO1_170","","","","","","","","forward_CO1_170"
"forward_CO1_171","","","","","","","","forward_CO1_171"
"forward_CO1_172","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Gelidiales_31399","Gelidiaceae_2808","Gelidium_2811","Gelidium coulteri_28849","forward_CO1_172"
"forward_CO1_173","","","","","","","","forward_CO1_173"
"forward_CO1_174","Eukaryota_2759","Cnidaria_6073","Anthozoa_6101","Actiniaria_6103","","","","forward_CO1_174"
"forward_CO1_175","","","","","","","","forward_CO1_175"
"forward_CO1_176","","","","","","","","forward_CO1_176"
"forward_CO1_177","","","","","","","","forward_CO1_177"
"forward_CO1_178","","","","","","","","forward_CO1_178"
"forward_CO1_179","","","","","","","","forward_CO1_179"
"forward_CO1_180","","","","","","","","forward_CO1_180"
"forward_CO1_181","","","","","","","","forward_CO1_181"
"forward_CO1_182","","","","","","","","forward_CO1_182"
"forward_CO1_183","","","","","","","","forward_CO1_183"
"forward_CO1_184","","","","","","","","forward_CO1_184"
"forward_CO1_185","","","","","","","","forward_CO1_185"
"forward_CO1_186","","","","","","","","forward_CO1_186"
"forward_CO1_187","","","","","","","","forward_CO1_187"
"forward_CO1_188","","","","","","","","forward_CO1_188"
"forward_CO1_190","","","","","","","","forward_CO1_190"
"forward_CO1_191","","","","","","","","forward_CO1_191"
"forward_CO1_192","","","","","","","","forward_CO1_192"
"forward_CO1_193","","","","","","","","forward_CO1_193"
"forward_CO1_194","","","","","","","","forward_CO1_194"
"forward_CO1_195","Eukaryota_2759","Chordata_7711","Actinopteri_186623","Perciformes_8111","Stichaeidae_30892","Cebidichthys_271502","Cebidichthys violaceus_271503","forward_CO1_195"
"forward_CO1_196","","","","","","","","forward_CO1_196"
"forward_CO1_197","","","","","","","","forward_CO1_197"
"forward_CO1_198","","","","","","","","forward_CO1_198"
"forward_CO1_199","","","","","","","","forward_CO1_199"
"forward_CO1_200","","","","","","","","forward_CO1_200"
"forward_CO1_201","","","","","","","","forward_CO1_201"
"forward_CO1_202","","","","","","","","forward_CO1_202"
"forward_CO1_203","","","","","","","","forward_CO1_203"
"forward_CO1_204","","","","","","","","forward_CO1_204"
"forward_CO1_205","","","","","","","","forward_CO1_205"
"forward_CO1_206","","","","","","","","forward_CO1_206"
"forward_CO1_207","","","","","","","","forward_CO1_207"
"forward_CO1_208","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Gigartinales_28017","Gigartinaceae_29217","Chondracanthus_29218","Chondracanthus canaliculatus_35175","forward_CO1_208"
"forward_CO1_209","","","","","","","","forward_CO1_209"
"forward_CO1_211","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Corallinales_31395","Corallinaceae_31396","Bossiella_48614","Bossiella plumosa_1086043","forward_CO1_211"
"forward_CO1_212","","","","","","","","forward_CO1_212"
"forward_CO1_213","","","","","","","","forward_CO1_213"
"forward_CO1_214","","","","","","","","forward_CO1_214"
"forward_CO1_215","Eukaryota_2759","Chlorophyta_3041","Chloropicophyceae_2302911","Chloropicales_2302912","Chloropicaceae_2302913","Chloroparvula_2302916","Chloroparvula pacifica_1883388","forward_CO1_215"
"forward_CO1_216","","","","","","","","forward_CO1_216"
"forward_CO1_217","","","","","","","","forward_CO1_217"
"forward_CO1_218","","","","","","","","forward_CO1_218"
"forward_CO1_219","Eukaryota_2759","Chlorophyta_3041","Mamiellophyceae_1035538","Mamiellales_13792","Mamiellaceae_41873","Micromonas_38832","Micromonas pusilla_38833","forward_CO1_219"
"forward_CO1_220","","","","","","","","forward_CO1_220"
"forward_CO1_221","","","","","","","","forward_CO1_221"
"forward_CO1_222","","","","","","","","forward_CO1_222"
"forward_CO1_223","","","","","","","","forward_CO1_223"
"forward_CO1_224","","","","","","","","forward_CO1_224"
"forward_CO1_225","","","","","","","","forward_CO1_225"
"forward_CO1_226","","","","","","","","forward_CO1_226"
