	Sample_Name	Dereplicated_Sample_Name	Type	PCR
CO1_A9.1022.c.S65.L001	1022.c	1022	sample	1
CO1_B1.1007.a.S2.L001	1007.a	1007	sample	1
CO1_B10.1031.a.S74.L001	1031.a	1031	sample	1
CO1_B11.1031.b.S80.L001	1031.b	1031	sample	1
CO1_B12.1031.c.S87.L001	1031.c	1031	sample	1
CO1_B2.1007.b.S10.L001	1007.b	1007	sample	1
CO1_B3.1007.c.S18.L001	1007.c	1007	sample	1
CO1_B4.1015.a.S26.L001	1015.a	1015	sample	1
CO1_B5.1015.b.S34.L001	1015.b	1015	sample	1
CO1_B6.1015.c.S42.L001	1015.c	1015	sample	1
CO1_B7.1023.a.S50.L001	1023.a	1023	sample	1
CO1_B8.1023.b.S58.L001	1023.b	1023	sample	1
CO1_B9.1023.c.S66.L001	1023.c	1023	sample	1
CO1_C1.1008.a.S3.L001	1008.a	1008	sample	1
CO1_C10.1032.a.EB.S75.L001	1032.a	1032	control	1
CO1_C11.1032.b.EB.S81.L001	1032.b	1032	control	1
CO1_C12.1032.c.EB.S88.L001	1032.c	1032	control	1
CO1_C2.1008.b.S11.L001	1008.b	1008	sample	1
CO1_C3.1008.c.S19.L001	1008.c	1008	sample	1
CO1_C4.1016.a.EB.S27.L001	1016.a	1016	control	1
CO1_C5.1016.b.EB.S35.L001	1016.b	1016	control	1
CO1_C6.1016.c.EB.S43.L001	1016.c	1016	control	1
CO1_C7.1024.a.S51.L001	1024.a	1024	sample	1
CO1_C8.1024.b.S59.L001	1024.b	1024	sample	1
CO1_C9.1024.c.S67.L001	1024.c	1024	sample	1
CO1_D1.1009.a.S4.L001	1009.a	1009	sample	1
CO1_D10.1033.a.S76.L001	1033.a	1033	sample	1
CO1_D11.1033.b.S82.L001	1033.b	1033	sample	1
CO1_D12.1033.c.S89.L001	1033.c	1033	sample	1
CO1_D2.1009.b.S12.L001	1009.b	1009	sample	1
CO1_D3.1009.c.S20.L001	1009.c	1009	sample	1
CO1_D4.1017.a.S28.L001	1017.a	1017	sample	1
CO1_D5.1017.b.S36.L001	1017.b	1017	sample	1
CO1_D6.1017.c.S44.L001	1017.c	1017	sample	1
CO1_D7.1025.a.S52.L001	1025.a	1025	sample	1
CO1_D8.1025.b.S60.L001	1025.b	1025	sample	1
CO1_D9.1025.c.S68.L001	1025.c	1025	sample	1
CO1_E1.1010.a.S5.L001	1010.a	1010	sample	1
CO1_E10.1034.a.S77.L001	1034.a	1034	sample	1
CO1_E11.1034.b.S83.L001	1034.b	1034	sample	1
CO1_E12.1034.c.S90.L001	1034.c	1034	sample	1
CO1_E2.1010.b.S13.L001	1010.b	1010	sample	1
CO1_E3.1010.c.S21.L001	1010.c	1010	sample	1
CO1_E4.1018.a.S29.L001	1018.a	1018	sample	1
CO1_E5.1018.b.S37.L001	1018.b	1018	sample	1
CO1_E6.1018.c.S45.L001	1018.c	1018	sample	1
CO1_E7.1026.a.S53.L001	1026.a	1026	sample	1
CO1_E8.1026.b.S61.L001	1026.b	1026	sample	1
CO1_E9.1026.c.S69.L001	1026.c	1026	sample	1
CO1_F1.1011.a.S6.L001	1011.a	1011	sample	1
CO1_F10.1035.a.S78.L001	1035.a	1035	sample	1
CO1_F11.1035.b.S84.L001	1035.b	1035	sample	1
CO1_F12.1035.c.S91.L001	1035.c	1035	sample	1
CO1_F2.1011.b.S14.L001	1011.b	1011	sample	1
CO1_F3.1011.c.S22.L001	1011.c	1011	sample	1
CO1_F4.1019.a.S30.L001	1019.a	1019	sample	1
CO1_F5.1019.b.S38.L001	1019.b	1019	sample	1
CO1_F6.1019.c.S46.L001	1019.c	1019	sample	1
CO1_F7.1027.a.S54.L001	1027.a	1027	sample	1
CO1_F8.1027.b.S62.L001	1027.b	1027	sample	1
CO1_F9.1027.c.S70.L001	1027.c	1027	sample	1
CO1_G1.1012.a.S7.L001	1012.a	1012	sample	1
CO1_G2.1012.b.S15.L001	1012.b	1012	sample	1
CO1_G3.1012.c.S23.L001	1012.c	1012	sample	1
CO1_G4.1020.a.S31.L001	1020.a	1020	sample	1
CO1_G5.1020.b.S39.L001	1020.b	1020	sample	1
CO1_G6.1020.c.S47.L001	1020.c	1020	sample	1
CO1_G7.1028.a.S55.L001	1028.a	1028	sample	1
CO1_G8.1028.b.S63.L001	1028.b	1028	sample	1
CO1_G9.1028.c.S71.L001	1028.c	1028	sample	1
CO1_H1.1013.a.S8.L001	1013.a	1013	sample	1
CO1_H11.1071.1.S85.L001	1071.1	1071	control	1
CO1_H2.1013.b.S16.L001	1013.b	1013	sample	1
CO1_H3.1013.c.S24.L001	1013.c	1013	sample	1
CO1_H4.1021.a.S32.L001	1021.a	1021	sample	1
CO1_H5.1021.b.S40.L001	1021.b	1021	sample	1
CO1_H6.1021.c.S48.L001	1021.c	1021	sample	1
CO1_H7.1029.a.S56.L001	1029.a	1029	sample	1
CO1_H8.1029.b.S64.L001	1029.b	1029	sample	1
CO1_H9.1029.c.S72.L001	1029.c	1029	sample	1
CO1_H12.NTC.1.S92.L001	NTC.1	NTC	control	1
