"Sequencing_Sample_Name","Sample_Name","Location","Latitude","Longitude","CRS","Date","Time","TimeZone","T","S"
"CO1_2.B6.1045.c.S134.L001","1045.c","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","14:00","UTC−08:00",15.2,33.1
"CO1_2.B10.1061.a.S166.L001","1061.a","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","13:00","UTC−08:00",14.8,32.8
"CO1_D10.1033.a.S76.L001","1033.a","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","17:00","UTC−08:00",15.1,33.3
"CO1_A9.1022.c.S65.L001","1022.c","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","13:30","UTC−08:00",15.1,32.6
"CO1_B2.1007.b.S10.L001","1007.b","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","17:00","UTC−08:00",15.1,33.3
"CO1_2.G4.1050.a.S123.L001","1050.a","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","15:00","UTC−08:00",15.6,33
"CO1_2.E3.1040.c.S113.L001","1040.c","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","11:30","UTC−08:00",13.4,33
"CO1_A8.1022.b.S57.L001","1022.b","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","13:30","UTC−08:00",15.1,32.6
"CO1_2.C3.1038.c.S111.L001","1038.c","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","11:30","UTC−08:00",13.4,33
"CO1_2.B12.1061.c.S177.L001","1061.c","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","13:00","UTC−08:00",14.8,32.8
"CO1_F1.1011.a.S6.L001","1011.a","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","11:30","UTC−08:00",13.4,33
"CO1_C1.1008.a.S3.L001","1008.a","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","17:00","UTC−08:00",15.1,33.3
"CO1_F2.1011.b.S14.L001","1011.b","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","11:30","UTC−08:00",13.4,33
"CO1_2.B11.1061.b.S171.L001","1061.b","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","13:00","UTC−08:00",14.8,32.8
"CO1_2.A9.1052.c.S157.L001","1052.c","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","12:30","UTC−08:00",14.1,33.5
"CO1_2.D12.1063.c.S179.L001","1063.c","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","16:30","UTC−08:00",15.1,33
"CO1_D4.1017.a.S28.L001","1017.a","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","16:00","UTC−08:00",15.2,32.9
"CO1_2.C2.1038.b.S103.L001","1038.b","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","11:30","UTC−08:00",13.4,33
"CO1_D5.1017.b.S36.L001","1017.b","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","16:00","UTC−08:00",15.2,32.9
"CO1_2.E1.1040.a.S97.L001","1040.a","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","11:30","UTC−08:00",13.4,33
"CO1_2.A8.1052.b.S149.L001","1052.b","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","12:30","UTC−08:00",14.1,33.5
"CO1_F9.1027.c.S70.L001","1027.c","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","12:00","UTC−08:00",13.5,33
"CO1_2.A7.1052.a.S141.L001","1052.a","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","12:30","UTC−08:00",14.1,33.5
"CO1_F3.1011.c.S22.L001","1011.c","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","11:30","UTC−08:00",13.4,33
