"","Sample","Dereplicated_Sample_Name","X","Sample_Name","Type","PCR","Time","Location","Extraction","T","S","SiteByTime","chart_num"
"120","CO1_2.G6.1050.c.S139.L001","1050","CO1_2.G6.1050.c.S139.L001","1050.c","sample","2","15:00","S2","5",15.6,33,"S2 15:00","1"
"121","CO1_2.H5.1051.b.S132.L001","1051","CO1_2.H5.1051.b.S132.L001","1051.b","sample","2","16:00","N","5",13.7,33.1,"N 16:00","1"
"122","CO1_2.H6.1051.c.S140.L001","1051","CO1_2.H6.1051.c.S140.L001","1051.c","sample","2","16:00","N","5",13.7,33.1,"N 16:00","1"
"123","CO1_2.H4.1051.a.S124.L001","1051","CO1_2.H4.1051.a.S124.L001","1051.a","sample","2","16:00","N","5",13.7,33.1,"N 16:00","1"
"124","CO1_2.A7.1052.a.S141.L001","1052","CO1_2.A7.1052.a.S141.L001","1052.a","sample","2","12:30","S2","5",14.1,33.5,"S2 12:30","1"
"125","CO1_2.A8.1052.b.S149.L001","1052","CO1_2.A8.1052.b.S149.L001","1052.b","sample","2","12:30","S2","5",14.1,33.5,"S2 12:30","1"
"126","CO1_2.A9.1052.c.S157.L001","1052","CO1_2.A9.1052.c.S157.L001","1052.c","sample","2","12:30","S2","5",14.1,33.5,"S2 12:30","1"
"127","CO1_2.B7.1053.a.S142.L001","1053","CO1_2.B7.1053.a.S142.L001","1053.a","sample","2","17:00","S1","5",15.2,33.5,"S1 17:00","3"
"128","CO1_2.B8.1053.b.S150.L001","1053","CO1_2.B8.1053.b.S150.L001","1053.b","sample","2","17:00","S1","5",15.2,33.5,"S1 17:00","3"
"129","CO1_2.B9.1053.c.S158.L001","1053","CO1_2.B9.1053.c.S158.L001","1053.c","sample","2","17:00","S1","5",15.2,33.5,"S1 17:00","3"
"130","CO1_2.C7.1054.a.S143.L001","1054","CO1_2.C7.1054.a.S143.L001","1054.a","sample","2","13:30","S1","5",15.9,32.9,"S1 13:30","1"
"131","CO1_2.C8.1054.b.S151.L001","1054","CO1_2.C8.1054.b.S151.L001","1054.b","sample","2","13:30","S1","5",15.9,32.9,"S1 13:30","1"
"132","CO1_2.C9.1054.c.S159.L001","1054","CO1_2.C9.1054.c.S159.L001","1054.c","sample","2","13:30","S1","5",15.9,32.9,"S1 13:30","1"
"133","CO1_2.D7.1055.a.S144.L001","1055","CO1_2.D7.1055.a.S144.L001","1055.a","sample","2","13:00","N","5",15.2,32.8,"N 13:00","1"
"134","CO1_2.D8.1055.b.S152.L001","1055","CO1_2.D8.1055.b.S152.L001","1055.b","sample","2","13:00","N","5",15.2,32.8,"N 13:00","1"
"135","CO1_2.D9.1055.c.S160.L001","1055","CO1_2.D9.1055.c.S160.L001","1055.c","sample","2","13:00","N","5",15.2,32.8,"N 13:00","1"
"136","CO1_2.E7.1056.a.S145.L001","1056","CO1_2.E7.1056.a.S145.L001","1056.a","sample","2","14:30","S1","5",16.2,33,"S1 14:30","1"
"137","CO1_2.E8.1056.b.S153.L001","1056","CO1_2.E8.1056.b.S153.L001","1056.b","sample","2","14:30","S1","5",16.2,33,"S1 14:30","1"
"138","CO1_2.E9.1056.c.S161.L001","1056","CO1_2.E9.1056.c.S161.L001","1056.c","sample","2","14:30","S1","5",16.2,33,"S1 14:30","1"
"139","CO1_2.F7.1057.a.S146.L001","1057","CO1_2.F7.1057.a.S146.L001","1057.a","sample","2","16:30","N","5",13.3,33.2,"N 16:30","1"
"140","CO1_2.F8.1057.b.S154.L001","1057","CO1_2.F8.1057.b.S154.L001","1057.b","sample","2","16:30","N","5",13.3,33.2,"N 16:30","1"
"141","CO1_2.F9.1057.c.S162.L001","1057","CO1_2.F9.1057.c.S162.L001","1057.c","sample","2","16:30","N","5",13.3,33.2,"N 16:30","1"
"142","CO1_2.G7.1058.a.S147.L001","1058","CO1_2.G7.1058.a.S147.L001","1058.a","sample","2","15:00","N","5",15.4,33,"N 15:00","1"
"143","CO1_2.G8.1058.b.S155.L001","1058","CO1_2.G8.1058.b.S155.L001","1058.b","sample","2","15:00","N","5",15.4,33,"N 15:00","1"
"144","CO1_2.G9.1058.c.S163.L001","1058","CO1_2.G9.1058.c.S163.L001","1058.c","sample","2","15:00","N","5",15.4,33,"N 15:00","1"
"145","CO1_2.H7.1059.a.S148.L001","1059","CO1_2.H7.1059.a.S148.L001","1059.a","sample","2","12:30","S1","5",14.9,32.7,"S1 12:30","1"
"146","CO1_2.H9.1059.c.S164.L001","1059","CO1_2.H9.1059.c.S164.L001","1059.c","sample","2","12:30","S1","5",14.9,32.7,"S1 12:30","1"
"147","CO1_2.H8.1059.b.S156.L001","1059","CO1_2.H8.1059.b.S156.L001","1059.b","sample","2","12:30","S1","5",14.9,32.7,"S1 12:30","1"
"148","CO1_2.A11.1060.b.S170.L001","1060","CO1_2.A11.1060.b.S170.L001","1060.b","sample","2","14:30","N","5",15,33.1,"N 14:30","1"
"149","CO1_2.A12.1060.c.S176.L001","1060","CO1_2.A12.1060.c.S176.L001","1060.c","sample","2","14:30","N","5",15,33.1,"N 14:30","1"
"150","CO1_2.A10.1060.a.S165.L001","1060","CO1_2.A10.1060.a.S165.L001","1060.a","sample","2","14:30","N","5",15,33.1,"N 14:30","1"
"151","CO1_2.B11.1061.b.S171.L001","1061","CO1_2.B11.1061.b.S171.L001","1061.b","sample","2","13:00","S2","5",14.8,32.8,"S2 13:00","1"
"152","CO1_2.B12.1061.c.S177.L001","1061","CO1_2.B12.1061.c.S177.L001","1061.c","sample","2","13:00","S2","5",14.8,32.8,"S2 13:00","1"
"153","CO1_2.B10.1061.a.S166.L001","1061","CO1_2.B10.1061.a.S166.L001","1061.a","sample","2","13:00","S2","5",14.8,32.8,"S2 13:00","1"
"154","CO1_2.C11.1062.b.S172.L001","1062","CO1_2.C11.1062.b.S172.L001","1062.b","sample","2","11:30","N","5",12.8,33.2,"N 11:30","3"
"155","CO1_2.C12.1062.c.S178.L001","1062","CO1_2.C12.1062.c.S178.L001","1062.c","sample","2","11:30","N","5",12.8,33.2,"N 11:30","3"
"156","CO1_2.C10.1062.a.S167.L001","1062","CO1_2.C10.1062.a.S167.L001","1062.a","sample","2","11:30","N","5",12.8,33.2,"N 11:30","3"
"157","CO1_2.D11.1063.b.S173.L001","1063","CO1_2.D11.1063.b.S173.L001","1063.b","sample","2","16:30","S2","5",15.1,33,"S2 16:30","1"
"158","CO1_2.D12.1063.c.S179.L001","1063","CO1_2.D12.1063.c.S179.L001","1063.c","sample","2","16:30","S2","5",15.1,33,"S2 16:30","1"
"159","CO1_2.D10.1063.a.S168.L001","1063","CO1_2.D10.1063.a.S168.L001","1063.a","sample","2","16:30","S2","5",15.1,33,"S2 16:30","1"
